K,Hit@K,MRR@K,NDCG@K,Precision@K,Recall@K
1,0.1532,0.1532,0.1532,0.1532,0.1532
2,0.2097,0.1815,0.1888,0.1048,0.2097
3,0.2379,0.1909,0.2030,0.0793,0.2379
4,0.3065,0.2080,0.2325,0.0766,0.3065
5,0.3468,0.2161,0.2481,0.0694,0.3468
6,0.3831,0.2221,0.2610,0.0638,0.3831
7,0.3992,0.2244,0.2664,0.0570,0.3992
8,0.4194,0.2269,0.2727,0.0524,0.4194
9,0.4234,0.2274,0.2740,0.0470,0.4234
10,0.4274,0.2278,0.2751,0.0427,0.4274
11,0.4355,0.2285,0.2774,0.0396,0.4355
12,0.4435,0.2292,0.2795,0.0370,0.4435
13,0.4476,0.2295,0.2806,0.0344,0.4476
14,0.4556,0.2301,0.2827,0.0325,0.4556
15,0.4637,0.2306,0.2847,0.0309,0.4637
16,0.4758,0.2314,0.2876,0.0297,0.4758
17,0.4798,0.2316,0.2886,0.0282,0.4798
18,0.4839,0.2318,0.2896,0.0269,0.4839
19,0.4960,0.2325,0.2924,0.0261,0.4960
20,0.5040,0.2329,0.2942,0.0252,0.5040
21,0.5081,0.2331,0.2951,0.0242,0.5081
22,0.5081,0.2331,0.2951,0.0231,0.5081
23,0.5161,0.2334,0.2969,0.0224,0.5161
24,0.5242,0.2338,0.2986,0.0218,0.5242
25,0.5282,0.2339,0.2995,0.0211,0.5282
26,0.5363,0.2342,0.3012,0.0206,0.5363
27,0.5403,0.2344,0.3020,0.0200,0.5403
28,0.5444,0.2345,0.3028,0.0194,0.5444
29,0.5524,0.2348,0.3045,0.0190,0.5524
30,0.5524,0.2348,0.3045,0.0184,0.5524
