topk,recall,precision,ndcg,map
1,0.001786,0.001786,0.001786,0.001786
2,0.008929,0.004464,0.006292,0.005357
3,0.010714,0.003571,0.007185,0.005952
4,0.014286,0.003571,0.008723,0.006845
5,0.016071,0.003214,0.009414,0.007202
6,0.017857,0.002976,0.010050,0.007500
7,0.017857,0.002551,0.010050,0.007500
8,0.017857,0.002232,0.010050,0.007500
9,0.017857,0.001984,0.010050,0.007500
10,0.023214,0.002321,0.011599,0.008036
11,0.025000,0.002273,0.012097,0.008198
12,0.026786,0.002232,0.012579,0.008347
13,0.028571,0.002198,0.013048,0.008484
14,0.030357,0.002168,0.013506,0.008612
15,0.030357,0.002024,0.013506,0.008612
16,0.033929,0.002121,0.014379,0.008835
17,0.035714,0.002101,0.014808,0.008940
18,0.035714,0.001984,0.014808,0.008940
19,0.035714,0.001880,0.014808,0.008940
20,0.039286,0.001964,0.015621,0.009119
21,0.041071,0.001956,0.016021,0.009204
22,0.041071,0.001867,0.016021,0.009204
23,0.041071,0.001786,0.016021,0.009204
24,0.044643,0.001860,0.016790,0.009352
25,0.048214,0.001929,0.017550,0.009495
26,0.048214,0.001854,0.017550,0.009495
27,0.048214,0.001786,0.017550,0.009495
28,0.048214,0.001722,0.017550,0.009495
29,0.051786,0.001786,0.018278,0.009618
30,0.053571,0.001786,0.018638,0.009678
