k,precision,recall,ndcg,map,num_evaluated
1,0.125000,0.125000,0.125000,0.125000,248
2,0.096774,0.193548,0.168249,0.159274,248
3,0.084677,0.254032,0.198491,0.179435,248
4,0.077621,0.310484,0.222804,0.193548,248
5,0.070161,0.350806,0.238402,0.201613,248
6,0.059140,0.354839,0.239839,0.202285,248
7,0.051267,0.358871,0.241183,0.202861,248
8,0.047379,0.379032,0.247543,0.205381,248
9,0.045699,0.411290,0.257254,0.208965,248
10,0.041532,0.415323,0.258419,0.209369,248
11,0.039589,0.435484,0.264043,0.211201,248
12,0.036962,0.443548,0.266222,0.211873,248
13,0.035050,0.455645,0.269400,0.212804,248
14,0.033410,0.467742,0.272496,0.213668,248
15,0.031989,0.479839,0.275520,0.214475,248
16,0.029990,0.479839,0.275520,0.214475,248
17,0.028700,0.487903,0.277454,0.214949,248
18,0.027778,0.500000,0.280302,0.215621,248
19,0.026740,0.508065,0.282168,0.216045,248
20,0.025806,0.516129,0.284004,0.216449,248
21,0.024770,0.520161,0.284908,0.216641,248
22,0.024194,0.532258,0.287582,0.217190,248
23,0.023668,0.544355,0.290221,0.217716,248
24,0.022849,0.548387,0.291089,0.217884,248
25,0.022097,0.552419,0.291947,0.218046,248
26,0.021247,0.552419,0.291947,0.218046,248
27,0.021057,0.568548,0.295302,0.218643,248
28,0.020449,0.572581,0.296132,0.218787,248
29,0.019883,0.576613,0.296954,0.218926,248
30,0.019355,0.580645,0.297767,0.219061,248
